slug,name,appcatalog_url
a-zippr,A Zippr,https://appcatalog.cloud/apps/a-zippr
achico,Achico,https://appcatalog.cloud/apps/achico
alexsidebar,Alexsidebar,https://appcatalog.cloud/apps/alexsidebar
amnesia,Amnesia,https://appcatalog.cloud/apps/amnesia
api-utility,Api Utility,https://appcatalog.cloud/apps/api-utility
appdelete,Appdelete,https://appcatalog.cloud/apps/appdelete
arclite-pro,Arclite Pro,https://appcatalog.cloud/apps/arclite-pro
audiolava,Audiolava,https://appcatalog.cloud/apps/audiolava
avaya-cloud,Avaya Cloud,https://appcatalog.cloud/apps/avaya-cloud
avid-link,Avid Link,https://appcatalog.cloud/apps/avid-link
azul-zulu-jdk-22,Azul Zulu Jdk 22,https://appcatalog.cloud/apps/azul-zulu-jdk-22
azul-zulu-jdk-24,Azul Zulu Jdk 24,https://appcatalog.cloud/apps/azul-zulu-jdk-24
bananotate,Bananotate,https://appcatalog.cloud/apps/bananotate
barcode-producer,Barcode Producer,https://appcatalog.cloud/apps/barcode-producer
barcode-studio,Barcode Studio,https://appcatalog.cloud/apps/barcode-studio
bartranslate,Bartranslate,https://appcatalog.cloud/apps/bartranslate
batchphoto,Batchphoto,https://appcatalog.cloud/apps/batchphoto
bimcollab-zoom,Bimcollab Zoom,https://appcatalog.cloud/apps/bimcollab-zoom
bitcomet,Bitcomet,https://appcatalog.cloud/apps/bitcomet
blink-eye,Blink Eye,https://appcatalog.cloud/apps/blink-eye
boring-notch,Boring Notch,https://appcatalog.cloud/apps/boring-notch
boundary,Boundary,https://appcatalog.cloud/apps/boundary
boxshot-5,Boxshot 5,https://appcatalog.cloud/apps/boxshot-5
brewer-x,Brewer X,https://appcatalog.cloud/apps/brewer-x
brewmate,Brewmate,https://appcatalog.cloud/apps/brewmate
buhontfs,Buhontfs,https://appcatalog.cloud/apps/buhontfs
caesium-image-compressor,Caesium Image Compressor,https://appcatalog.cloud/apps/caesium-image-compressor
canister,Canister,https://appcatalog.cloud/apps/canister
cascable-pro-webcam,Cascable Pro Webcam,https://appcatalog.cloud/apps/cascable-pro-webcam
catalog,Catalog,https://appcatalog.cloud/apps/catalog
chatkit,Chatkit,https://appcatalog.cloud/apps/chatkit
chromebuddy,Chromebuddy,https://appcatalog.cloud/apps/chromebuddy
cisco-audio-device,Cisco Audio Device,https://appcatalog.cloud/apps/cisco-audio-device
cisco-umbrella-roaming-client,Cisco Umbrella Roaming Client,https://appcatalog.cloud/apps/cisco-umbrella-roaming-client
cisco-webex,Cisco Webex,https://appcatalog.cloud/apps/cisco-webex
clamav,Clamav,https://appcatalog.cloud/apps/clamav
class,Class,https://appcatalog.cloud/apps/class
cleanshot-x,Cleanshot X,https://appcatalog.cloud/apps/cleanshot-x
clevershare,Clevershare,https://appcatalog.cloud/apps/clevershare
clipboardai,Clipboardai,https://appcatalog.cloud/apps/clipboardai
clipdrop,Clipdrop,https://appcatalog.cloud/apps/clipdrop
close-desktop,Close Desktop,https://appcatalog.cloud/apps/close-desktop
cloudtalk-phone,Cloudtalk Phone,https://appcatalog.cloud/apps/cloudtalk-phone
computer,Computer,https://appcatalog.cloud/apps/computer
connectmenow4,Connectmenow4,https://appcatalog.cloud/apps/connectmenow4
conniepad,Conniepad,https://appcatalog.cloud/apps/conniepad
corelcad,Corelcad,https://appcatalog.cloud/apps/corelcad
cotypist,Cotypist,https://appcatalog.cloud/apps/cotypist
cronica,Cronica,https://appcatalog.cloud/apps/cronica
cryptotab-browser,Cryptotab Browser,https://appcatalog.cloud/apps/cryptotab-browser
cursor-teleporter,Cursor Teleporter,https://appcatalog.cloud/apps/cursor-teleporter
dante-virtual-soundcard,Dante Virtual Soundcard,https://appcatalog.cloud/apps/dante-virtual-soundcard
default-mail-app-to-microsoft-outlook,Default Mail App To Microsoft Outlook,https://appcatalog.cloud/apps/default-mail-app-to-microsoft-outlook
delighted,Delighted,https://appcatalog.cloud/apps/delighted
dell-display-peripheral-manager,Dell Display Peripheral Manager,https://appcatalog.cloud/apps/dell-display-peripheral-manager
deskrest,Deskrest,https://appcatalog.cloud/apps/deskrest
desktop-icon-manager,Desktop Icon Manager,https://appcatalog.cloud/apps/desktop-icon-manager
dialpad-meetings,Dialpad Meetings,https://appcatalog.cloud/apps/dialpad-meetings
dictation-daddy,Dictation Daddy,https://appcatalog.cloud/apps/dictation-daddy
disk-space-analyzer,Disk Space Analyzer,https://appcatalog.cloud/apps/disk-space-analyzer
docusign-edit,Docusign Edit,https://appcatalog.cloud/apps/docusign-edit
dropnotch,Dropnotch,https://appcatalog.cloud/apps/dropnotch
dropnote,Dropnote,https://appcatalog.cloud/apps/dropnote
droppoint,Droppoint,https://appcatalog.cloud/apps/droppoint
eclipse-ide-for-embedded-cc-developers,Eclipse Ide For Embedded Cc Developers,https://appcatalog.cloud/apps/eclipse-ide-for-embedded-cc-developers
eclipse-ide-for-enterprise-java-and-web-developers,Eclipse Ide For Enterprise Java And Web Developers,https://appcatalog.cloud/apps/eclipse-ide-for-enterprise-java-and-web-developers
eclipse-ide-for-rcp-and-rap-developers,Eclipse Ide For Rcp And Rap Developers,https://appcatalog.cloud/apps/eclipse-ide-for-rcp-and-rap-developers
eclipse-ide-for-scout-developers,Eclipse Ide For Scout Developers,https://appcatalog.cloud/apps/eclipse-ide-for-scout-developers
editready,Editready,https://appcatalog.cloud/apps/editready
elytra,Elytra,https://appcatalog.cloud/apps/elytra
enreachcontact,Enreachcontact,https://appcatalog.cloud/apps/enreachcontact
eon-timer,Eon Timer,https://appcatalog.cloud/apps/eon-timer
eparaksts,Eparaksts,https://appcatalog.cloud/apps/eparaksts
escape-medical-viewer,Escape Medical Viewer,https://appcatalog.cloud/apps/escape-medical-viewer
farmerswife,Farmerswife,https://appcatalog.cloud/apps/farmerswife
figura,Figura,https://appcatalog.cloud/apps/figura
file-architect,File Architect,https://appcatalog.cloud/apps/file-architect
filemail,Filemail,https://appcatalog.cloud/apps/filemail
fileminutes,Fileminutes,https://appcatalog.cloud/apps/fileminutes
findr,Findr,https://appcatalog.cloud/apps/findr
finito,Finito,https://appcatalog.cloud/apps/finito
fivenotes,Fivenotes,https://appcatalog.cloud/apps/fivenotes
flashpeak-slimjet,Flashpeak Slimjet,https://appcatalog.cloud/apps/flashpeak-slimjet
flexihub,Flexihub,https://appcatalog.cloud/apps/flexihub
focusee,Focusee,https://appcatalog.cloud/apps/focusee
folge,Folge,https://appcatalog.cloud/apps/folge
foolcat,Foolcat,https://appcatalog.cloud/apps/foolcat
fotomagico,Fotomagico,https://appcatalog.cloud/apps/fotomagico
foxit-phantompdf,Foxit Phantompdf,https://appcatalog.cloud/apps/foxit-phantompdf
frameio-transfer,Frameio Transfer,https://appcatalog.cloud/apps/frameio-transfer
freeter,Freeter,https://appcatalog.cloud/apps/freeter
frost-writer,Frost Writer,https://appcatalog.cloud/apps/frost-writer
ftprush,Ftprush,https://appcatalog.cloud/apps/ftprush
fuzzlecheck-4,Fuzzlecheck 4,https://appcatalog.cloud/apps/fuzzlecheck-4
geekbench-ml,Geekbench Ml,https://appcatalog.cloud/apps/geekbench-ml
global-secure-access-client,Global Secure Access Client,https://appcatalog.cloud/apps/global-secure-access-client
growly-glucose,Growly Glucose,https://appcatalog.cloud/apps/growly-glucose
haiku-animator,Haiku Animator,https://appcatalog.cloud/apps/haiku-animator
