slug	name	installer_type	source_class	downloadURL	appNewVersion	team_id	pkg_receipt	appcatalog_url
acoustica	Acoustica	pkg	direct					https://appcatalog.cloud/apps/acoustica
agenda	Agenda	dmg	direct					https://appcatalog.cloud/apps/agenda
airradar	Airradar	dmg	direct					https://appcatalog.cloud/apps/airradar
akvis-airbrush	Akvis Airbrush	dmg	direct					https://appcatalog.cloud/apps/akvis-airbrush
akvis-artifact-remover-ai	Akvis Artifact Remover Ai	dmg	direct					https://appcatalog.cloud/apps/akvis-artifact-remover-ai
akvis-frames	Akvis Frames	dmg	direct					https://appcatalog.cloud/apps/akvis-frames
alarm-clock-pro	Alarm Clock Pro	dmg	direct					https://appcatalog.cloud/apps/alarm-clock-pro
alivecolors	Alivecolors	dmg	direct					https://appcatalog.cloud/apps/alivecolors
anaconda-navigator	Anaconda Navigator	pkg	direct	https://repo.anaconda.com/archive/$archiveName	"$( awk -F'-' '{print $2}' <<< ""$archiveName"" )"	Z5788K4JT7	com.anaconda.io	https://appcatalog.cloud/apps/anaconda-navigator
anka	Anka	pkg	direct					https://appcatalog.cloud/apps/anka
apache-netbeans-15	Apache Netbeans 15	pkg	github	$(downloadURLFromGit Friends-of-Apache-NetBeans netbeans-installers)	"$(curl -sLI ""https://github.com/Friends-of-Apache-NetBeans/netbeans-installers/releases/latest"" | grep -i ""^location"" | tr ""/"" ""\n"" | tail -1 | sed -E 's/v([0-9]+).*/\1/')"	44YNN9Q525		https://appcatalog.cloud/apps/apache-netbeans-15
app-cleaner-and-uninstaller	App Cleaner And Uninstaller	zip	sparkle/feed	"$(curl -fs https://freemacsoft.net/appcleaner/Updates.xml | xpath '//rss/channel/item[last()]/enclosure/@url' 2>/dev/null | tr "" "" ""\n"" | sort | tail -1 | cut -d '""' -f 2)"	"$(curl -fsL ""https://freemacsoft.net/appcleaner/Updates.xml"" | xpath '//rss/channel/item[last()]/enclosure/@sparkle:shortVersionString' 2>/dev/null  | cut -d '""' -f 2)"	X85ZX835W9		https://appcatalog.cloud/apps/app-cleaner-and-uninstaller
atlassian-companion	Atlassian Companion	dmg	dynamic-scrape	"$(curl -fsL https://confluence.atlassian.com/display/DOC/Install+Atlassian+Companion | sed -nE 's/.*(https:.*\.dmg)\"".*/\1/p')"	"$(getJSONValue ""$(curl -fsL https://update-nucleus.atlassian.com/Atlassian-Companion/291cb34fe2296e5fb82b83a04704c9b4/darwin/x64/RELEASES.json)"" ""currentRelease"" )"	UPXU4CQZ5P		https://appcatalog.cloud/apps/atlassian-companion
automounter	Automounter	dmg	direct	https://www.pixeleyes.co.nz/automounter/AutoMounter.dmg	$( curl -fs https://www.pixeleyes.co.nz/automounter/version )	UKWABN4MGL		https://appcatalog.cloud/apps/automounter
aws-cli	Aws Cli	pkg	direct	https://awscli.amazonaws.com/AWSCLIV2.pkg	"$( curl -fs ""https://raw.githubusercontent.com/aws/aws-cli/v2/CHANGELOG.rst"" | grep -i ""CHANGELOG"" -a4 | grep ""[0-9.]"" )"	94KV3E626L	com.amazon.aws.cli2	https://appcatalog.cloud/apps/aws-cli
beam-studio	Beam Studio	dmg	dynamic-scrape	"$( curl -s https://id.flux3dp.com/api/check-update?key=beamstudio-stable"" | tr '""' '\n' | grep -m1 dmg )"""	"$( echo $downloadURL"" | cut -d '+' -f 3 | cut -d '.' -f 1-3 )"""	4Y92JWKV94		https://appcatalog.cloud/apps/beam-studio
brosix	Brosix	pkg	direct	https://www.brosix.com/downloads/builds/official/Brosix.pkg		TA6P23NW8H		https://appcatalog.cloud/apps/brosix
cakebrew	Cakebrew	zip	sparkle/feed	"$(curl -fsL ""https://www.cakebrew.com/appcast/profileInfo.php"" | xpath '//rss/channel/item[1]/enclosure/@url' 2>/dev/null  | cut -d '""' -f 2)"	"$( curl -fsL ""https://www.cakebrew.com/appcast/profileInfo.php"" | xpath '//rss/channel/item[1]/enclosure/@sparkle:shortVersionString' 2>/dev/null | cut -d '""' -f 2 )"	R85D3K8ATT		https://appcatalog.cloud/apps/cakebrew
capture-one	Capture One	dmg	sparkle/feed	"$(echo ""${captureoneSparkle}"" | xmllint --xpath ""string(//item[1]/enclosure/@url)"" - 2>/dev/null)"	"$(echo ""${downloadURL}"" | sed -E 's/.*Mac\.([0-9.]+)\.dmg/\1/')"	5WTDB5F65L		https://appcatalog.cloud/apps/capture-one
cato-client	Cato Client	pkg	direct	https://clientdownload.catonetworks.com/public/clients/CatoClient.pkg	"$(curl -Ls -o /dev/null -w %{url_effective} ""${downloadURL}"" | sed -E 's/.*\/([0-9.]*)\/.*/\1/g' | awk -F '.' '{print $1 ""."" $2 ""."" $3}')"	CKGSB8CH43		https://appcatalog.cloud/apps/cato-client
cloudya	Cloudya	appInDmgInZip	dynamic-scrape	"$(curl -fsL https://www.nfon.com/de/service/downloads | grep -i -E -o https://cdn.cloudya.com/Cloudya-[.0-9]+-mac.zip"")"""	"$(curl -fsL https://www.nfon.com/de/service/downloads | grep -i -E -o Cloudya Desktop App MAC [0-9.]*"" | sed 's/^.*\ \([^ ]\{0,7\}\)$/\1/g' | head -n1)"""	X26F74J8TH		https://appcatalog.cloud/apps/cloudya
code42	Code42	pkgInDmg	direct	https://download-preservation.code42.com/installs/agent/latest-mac.dmg		9YV9435DHD		https://appcatalog.cloud/apps/code42
cricut-design-space	Cricut Design Space	dmg	dynamic-scrape	"$(getJSONValue $(curl  -fsL ""https://apis.cricut.com/desktopdownload/InstallerFile?shard=a&operatingSystem=osxnative&fileName=CricutDesignSpace-Install-v${appNewVersion}.dmg"") ""result"")"	"$(getJSONValue ""$cricutVersionJSON"" ""rolloutVersion"")"	25627ZFVT7		https://appcatalog.cloud/apps/cricut-design-space
daylite	Daylite	zip	direct	https://www.marketcircle.com/downloads/latest-daylite	"$(curl -fs https://www.marketcircle.com/appcasts/daylite.xml | xpath '(//rss/channel/item/enclosure/@sparkle:shortVersionString)[1]' 2>/dev/null | cut -d '' -f 2)"""	GR26KTJYTV		https://appcatalog.cloud/apps/daylite
dedoose	Dedoose	dmg	direct	https://downloads.dedoose.com/dedoose-app-releases/Dedoose-Mac.dmg	"$(curl -fsI https://downloads.dedoose.com/dedoose-app-releases/Dedoose-Mac.dmg | grep -i ""^content-disposition:"" | grep -o ""v[0-9]\{1,\}\.[0-9]\{1,\}\.[0-9]\{1,\}"" | sed 's/^v//')"	9U74Q6K62X		https://appcatalog.cloud/apps/dedoose
depnotify	Depnotify	pkg	direct	https://files.jamfconnect.com/DEPNotify.pkg		VRPY9KHGX6		https://appcatalog.cloud/apps/depnotify
displaylink-manager	Displaylink Manager	pkg	dynamic-scrape	"https://www.synaptics.com$(curl -sfL https://www.synaptics.com${productPage}"" | grep -o '/sites/default/files/exe_files/[^""]*\.pkg' | head -1)"""	$(curl -sfL https://www.synaptics.com/products/displaylink-graphics/downloads/macos | grep -o 'DisplayLink%20Manager%20Graphics%20Connectivity[0-9.]*-Release' | head -1 | sed 's/DisplayLink%20Manager%20Graphics%20Connectivity//' | sed 's/-Release//')	73YQY62QM3		https://appcatalog.cloud/apps/displaylink-manager
docker	Docker	dmg	direct	https://desktop.docker.com/mac/stable/arm64/Docker.dmg	"$( curl -fs ""https://desktop.docker.com/mac/main/arm64/appcast.xml"" | xpath '(//rss/channel/item/enclosure/@sparkle:shortVersionString)[last()]' 2>/dev/null | cut -d '""' -f2 )"	9BNSXJN65R		https://appcatalog.cloud/apps/docker
doctolib	Doctolib	dmg	direct	https://ddv-install.doctolib.fr/DoctolibProDesktop-latest-arm64.dmg		84K7XVJ72Q		https://appcatalog.cloud/apps/doctolib
dragonframe-2024	Dragonframe 2024	pkg	direct	https://www.dragonframe.com/download/Dragonframe_${appNewVersion}.pkg	"$(curl -s -A ""User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.1 Safari/605.1.15"" https://www.dragonframe.com/downloads/ | grep -o 'Dragonframe_2024\.[0-9]\+\.[0-9]\+\.pkg' | sed -E 's/Dragonframe_//; s/\.pkg$//' | head -n 1)"	PG7SM8SD8M		https://appcatalog.cloud/apps/dragonframe-2024
dragonframe-2025	Dragonframe 2025	pkg	direct	https://www.dragonframe.com/download/Dragonframe_${appNewVersion}.pkg	"$(curl -s -A ""User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.1 Safari/605.1.15"" https://www.dragonframe.com/downloads/ | grep -o 'Dragonframe [0-9]\+\.[0-9]\+\.[0-9]\+' | sed 's/Dragonframe //' | head -n 1)"	PG7SM8SD8M		https://appcatalog.cloud/apps/dragonframe-2025
dragonframe-5	Dragonframe 5	pkg	dynamic-scrape	"$( curl -s https://www.dragonframe.com/downloads/"" $curlOptions | tr '""' '\n' | grep -m1 ""_5.*pkg"" )"""	"$( echo $downloadURL"" | cut -d '_' -f 2 | cut -d '.' -f 1-3 )"""	PG7SM8SD8M	com.dzed.Dragonframe5	https://appcatalog.cloud/apps/dragonframe-5
dstny	Dstny	dmg	direct	https://soft.dstny.se/dstny_mac.dmg		5RLWBLKGL2		https://appcatalog.cloud/apps/dstny
epos-connect	Epos Connect	pkg	dynamic-scrape	"$(curl -fs ""https://www.eposaudio.com/en/dk/software/epos-connect"" | tr '""' ""\n"" | grep -o ""^https://www.eposaudio.*.pkg$"")"	"$(echo ""$downloadURL"" | sed -E 's/.*_([0-9.]*).pkg/\1/' | cut -d ""."" -f4)"	8956A7Y69J		https://appcatalog.cloud/apps/epos-connect
everweb	Everweb	dmg	direct	https://www.ragesw.com/downloads/everweb/everweb.dmg	"$(curl -fs https://www.everwebapp.com/change-log/index.html | grep -oE ""[0-9]+\.[0-9]+\.[0-9]+"" | head -n 1)"	A95T4TFRZ2		https://appcatalog.cloud/apps/everweb
final-draft-12	Final Draft 12	appInDmgInZip	direct	https://www.finaldraft.com	"$(echo $downloadURL | cut -d 't' -f5 | cut -f1 -d ""M"")"	7XUZ8R5736		https://appcatalog.cloud/apps/final-draft-12
final-draft-13	Final Draft 13	appInDmgInZip	sparkle/feed	"https://www.finaldraft.com$(curl -fs https://www.finaldraft.com/support/install-final-draft/install-final-draft-13-macintosh/"" | xmllint --html --format - 2>/dev/null | grep -o ""/downloads/finaldraft.*.zip"" | head -n 1)"""	"$(echo $downloadURL | cut -d 't' -f5 | cut -f1 -d ""M"")"	7XUZ8R5736		https://appcatalog.cloud/apps/final-draft-13
flowjo	Flowjo	dmg	dynamic-scrape	"$(curl -fs https://www.flowjo.com/flowjo/download"" | grep -i -o -E ""https.*\.dmg"" | grep -m 1 'arm64')"""	"$(echo ""${downloadURL}"" | cut -d ""-"" -f2 )"	C79HU5AD9V		https://appcatalog.cloud/apps/flowjo
grammarly	Grammarly	dmg	direct	https://download-mac.grammarly.com/Grammarly.dmg		W8F64X92K3	com.grammarly.ProjectLlama	https://appcatalog.cloud/apps/grammarly
grasshopper	Grasshopper	dmg	direct	https://dl.grasshopper.com/Grasshopper.dmg		KD6L2PTK2Q		https://appcatalog.cloud/apps/grasshopper
guardian-browser	Guardian Browser	dmg	direct	https://production-archimedes-secure-browser-artifacts.s3.amazonaws.com/latest/mac-x64/guardian-browser-x64.dmg		7TCATJSU2Y		https://appcatalog.cloud/apps/guardian-browser
