slug	name	installer_type	source_class	downloadURL	appNewVersion	team_id	pkg_receipt	appcatalog_url
mestrenova	Mestrenova	dmg	direct	https://mestrelab.com/downloads/mnova/mac/MestReNova-$mestrenovaDownloadVersion.dmg	"$(echo ""$mestrenovaDownloadVersion"" | cut -d '-' -f1)"	DH5EKRR34H		https://appcatalog.cloud/apps/mestrenova
microsoft-company-portal	Microsoft Company Portal	pkg	sparkle/feed	"$(curl -fsL $MAUSource | xmllint --xpath '//array/dict[1]/key[text()=""Location""]/following-sibling::string[1]/text()' - | sed 's/-Upgrade/-Installer/' 2>/dev/null)"	"$(curl -fsL $MAUSource | xmllint --xpath '//array/dict[1]/key[text()=""Update Version""]/following-sibling::string[1]/text()' - 2>/dev/null)"	UBF8T346G9		https://appcatalog.cloud/apps/microsoft-company-portal
microsoft-powershell	Microsoft Powershell	pkg	github	$(downloadURLFromGit PowerShell PowerShell )	$(versionFromGit PowerShell PowerShell )	UBF8T346G9		https://appcatalog.cloud/apps/microsoft-powershell
microsoft-skype-for-business	Microsoft Skype For Business	pkg	msft	https://go.microsoft.com/fwlink/?linkid=832978	"$(curl -fsIL ""$downloadURL"" | grep -i location: | sed -E 's/.*\/[a-zA-Z]*-([0-9.]*)\..*/\1/g')"	UBF8T346G9		https://appcatalog.cloud/apps/microsoft-skype-for-business
network-share-mounter	Network Share Mounter	pkg	dynamic-scrape	"$(curl -sfL ""https://gitlab.rrze.fau.de/api/v4/projects/506/releases/release-$appNewVersion/assets/links/"" | grep -Eo '(http|https)://[a-zA-Z0-9./?=_%:-]*.pkg' | head -n 1)"	$(curl -sfL https://gitlab.rrze.fau.de/api/v4/projects/506/releases | grep -o 'release-[0-9]\+\.[0-9]\+\.[0-9]\+' | grep -o '[0-9]\+\.[0-9]\+\.[0-9]\+' | head -n 1)	C8F68RFW4L	de.fau.rrze.NetworkShareMounter	https://appcatalog.cloud/apps/network-share-mounter
nodejs	Nodejs	pkg	dynamic-scrape	https://nodejs.org/dist/latest/node-$(curl -s -L https://nodejs.org/dist/latest/ | sed -nE 's|.*>node-(.*)\.pkg</a>.*|\1|p').pkg	$(curl -s -L https://nodejs.org/dist/latest/ | sed -nE 's|.*>node-(.*)\.pkg</a>.*|\1|p')	HX7739G8FX		https://appcatalog.cloud/apps/nodejs
nvivo-14	Nvivo 14	dmg	direct	https://download.qsrinternational.com/Software/NVivo14forMac/NVivo.dmg	"$(curl -fsIL ""${downloadURL}"" | grep -i ""^location"" | awk '{print $2}' | awk -F'/' '{ print $6 }' | cut -d ""."" -f1-3)"	8F4S7H8S59		https://appcatalog.cloud/apps/nvivo-14
nvivo-15	Nvivo 15	dmg	direct	https://download.qsrinternational.com/Software/NVivo15forMac/NVivo15.dmg	"$(curl -fsIL ""${downloadURL}"" | grep -i ""^location"" | awk '{print $2}' | awk -F'/' '{ print $6 }' | cut -d ""."" -f1-3)"	8F4S7H8S59		https://appcatalog.cloud/apps/nvivo-15
onscreen-control	Onscreen Control	pkgInZip	direct	https://lmu.lge.com/ExternalService/onscreencontrol/mac/2.0/${downloadFile}	$(echo $downloadFile | grep -o '[0-9].[0-9][0-9]')	5SKT5H4CPQ	com.LGSI.OnScreen-Control	https://appcatalog.cloud/apps/onscreen-control
particulars	Particulars	pkg	direct	https://particulars.app/_downloads/Particulars-latest.pkg	"$(curl -fsI ""${downloadURL}"" | grep -i location | grep -oE ""[0-9]+\.[0-9]+"")"	2Z25XDNP2X	net.glencode.Particulars	https://appcatalog.cloud/apps/particulars
plantronics-hub	Plantronics Hub	pkgInDmg	direct	https://www.poly.com/content/dam/www/software/PlantronicsHubInstaller.dmg	"$(curl -fs ""https://www.poly.com/in/en/support/knowledge-base/kb-article-page?lang=en_US&urlName=Hub-Release-Notes&type=Product_Information__kav"" | grep -o ""(*.*<span>)"" | head -1 | cut -d ""("" -f2 | sed 's/\<\/span\>//g' | cut -d ""<"" -f1)"	SKWK2Q7JJV		https://appcatalog.cloud/apps/plantronics-hub
poll-everywhere	Poll Everywhere	dmg	direct	https://polleverywhere-app.s3.amazonaws.com/mac-stable/$appNewVersion/pollev.dmg	"$(curl -fsL https://www.polleverywhere.com/app/releases/mac | grep h3 --max-count 1 | awk '{ gsub(/<\/?h3>/, """"); print }')"	W48F3X5M8W		https://appcatalog.cloud/apps/poll-everywhere
projectplace	Projectplace	dmg	direct	https://service.projectplace.com/client_apps/desktop/Projectplace-for-mac.dmg		8333HW99E8		https://appcatalog.cloud/apps/projectplace
rhino-7	Rhino 7	dmg	sparkle/feed	"$(echo ""$sparkleFeed"" | xpath '(//rss/channel/item/enclosure/@url)[1]' 2>/dev/null | cut -d '""' -f 2)"	"$(echo ""$sparkleFeed"" | xpath '(//rss/channel/item/enclosure/@sparkle:shortVersionString[1]' 2>/dev/null | cut -d '""' -f 2 | cut -d ' ' -f 1)"	D6XDM4N99E		https://appcatalog.cloud/apps/rhino-7
rhino-8	Rhino 8	dmg	sparkle/feed	"$(echo ""$sparkleFeed"" | xpath '(//rss/channel/item/enclosure/@url)[1]' 2>/dev/null | cut -d '""' -f 2)"	"$(echo ""$sparkleFeed"" | xpath '(//rss/channel/item/enclosure/@sparkle:shortVersionString)[1]' 2>/dev/null | cut -d '""' -f 2 | cut -d ' ' -f 1)"	D6XDM4N99E		https://appcatalog.cloud/apps/rhino-8
screencloud-player	Screencloud Player	dmg	dynamic-scrape	"$(curl -fs ""https://screencloud.com/download"" | sed -n 's/^.*""url"":""\(https.*\.dmg\)"".*$/\1/p')"	$( echo $downloadURL | sed -e 's/.*\/ScreenCloud.*\-\([0-9.]*\)\.dmg/\1/g' )	3C4F953K6P		https://appcatalog.cloud/apps/screencloud-player
signiant-app	Signiant App	dmg	dynamic-scrape	"https://updates.signiant.com/signiant_app/$(curl -fs https://updates.signiant.com/signiant_app/signiant-app-info-mac.json"" | grep -o '""file"": *""[^""]*""' | awk -F '""' '{print $4}')"""	$(echo $downloadURL | sed -E 's/.*Signiant_App_([0-9]+(\.[0-9]+)*)\.dmg/\1/')	U6ZZ4QLU4Q		https://appcatalog.cloud/apps/signiant-app
