-e norm_key	source_class	source_detail	recipe_name
180db	sparkle/feed	zugang.advanced-research.dev	180db
180dbdownload	sparkle/feed	zugang.advanced-research.dev	180db.download
180dbinstall	sparkle/feed	zugang.advanced-research.dev	180db.install
180dbpkg	sparkle/feed	zugang.advanced-research.dev	180db.pkg
1password	dynamic-scrape		1Password
1password7download	dynamic-scrape		1Password7.download
1password7install	dynamic-scrape		1Password7.install
1password7munki	dynamic-scrape		1Password7.munki
1password7pkg	dynamic-scrape		1Password7.pkg
1password8download	dynamic-scrape		1Password8.download
1password8munki	dynamic-scrape		1Password8.munki
1password8pkg	dynamic-scrape		1Password8.pkg
1passworddownload	dynamic-scrape		1Password.download
1passwordmunki	dynamic-scrape		1Password.munki
1passwordpkg	dynamic-scrape		1Password.pkg
1piece	sparkle/feed	app1piece.com	1Piece
1piecedownload	sparkle/feed	app1piece.com	1Piece.download
3cx	dynamic-scrape		3CX
3cxdownload	dynamic-scrape		3CX.download
3cxmunki	dynamic-scrape		3CX.munki
3dcoat	dynamic-scrape	3dcoat.com	3DCoat
3dcoatdownload	dynamic-scrape	3dcoat.com	3DCoat.download
3dcoatmunki	dynamic-scrape	3dcoat.com	3dCoat.munki
4kvideodownloader	dynamic-scrape	www.4kdownload.com	4KVideoDownloader
4kvideodownloaderdownload	dynamic-scrape	www.4kdownload.com	4K Video Downloader.download
4kvideodownloaderpkg	dynamic-scrape	www.4kdownload.com	4K Video Downloader.pkg
4kvideodownloaderplus	dynamic-scrape	www.4kdownload.com	4KVideoDownloaderPlus
4kvideodownloaderplusdownload	dynamic-scrape	www.4kdownload.com	4K Video DownloaderPlus.download
5kplayer	dynamic-scrape	www.5kplayer.com	5KPlayer
5kplayerdownload	dynamic-scrape	www.5kplayer.com	5KPlayer.download
5kplayerwindownload	dynamic-scrape	www.5kplayer.com	5KPlayer-Win.download
8x8work	dynamic-scrape	support-portal.8x8.com	8x8Work
8x8workdownload	dynamic-scrape	support-portal.8x8.com	8x8Work.download
8x8workinstall	dynamic-scrape	support-portal.8x8.com	8x8Work.install
8x8workmunki	dynamic-scrape	support-portal.8x8.com	8x8Work.munki
8x8workuniversal	dynamic-scrape	support-portal.8x8.com	8x8WorkUniversal
8x8workuniversaldownload	dynamic-scrape	support-portal.8x8.com	8x8workUniversal.download
abetterfinderattributes	sparkle/feed	www.publicspace.net	A Better Finder Attributes
abetterfinderattributesdownload	sparkle/feed	www.publicspace.net	ABetterFinderAttributes.download
abetterfinderattributesinstall	sparkle/feed	www.publicspace.net	ABetterFinderAttributes.install
abetterfinderattributesmunki	sparkle/feed	www.publicspace.net	ABetterFinderAttributes.munki
abetterfinderrename	sparkle/feed	www.publicspace.net	A Better Finder Rename
abetterfinderrenamedownload	sparkle/feed	www.publicspace.net	ABetterFinderRename.download
abetterfinderrenameinstall	sparkle/feed	www.publicspace.net	ABetterFinderRename.install
abstract	dynamic-scrape	api.goabstract.com	Abstract
abstractdownload	dynamic-scrape	api.goabstract.com	Abstract.download
abstractjamf	dynamic-scrape	api.goabstract.com	Abstract.jamf
accents	dynamic-scrape	tars.mahdi.jp	Accents
accentsdownload	dynamic-scrape	tars.mahdi.jp	Accents.download
ack	dynamic-scrape		ack
ackdownload	dynamic-scrape		ack.download
ackinstall	dynamic-scrape		ack.install
ackmunki	dynamic-scrape		ack.munki
ackpkg	dynamic-scrape		ack.pkg
acorn	sparkle/feed		Acorn
acorndownload	sparkle/feed		Acorn.download
acorninstall	sparkle/feed		Acorn.install
acornmunki	sparkle/feed		Acorn.munki
acornpkg	sparkle/feed		Acorn.pkg
acronisfilesconnect	dynamic-scrape	support.grouplogic.com	Acronis Files Connect
acronisfilesconnectdownload	dynamic-scrape	support.grouplogic.com	Acronis Files Connect.download
activdriver	dynamic-scrape	support.prometheanworld.com	ActivDriver
activdriverdownload	dynamic-scrape	support.prometheanworld.com	ActivDriver.download
activecollab	dynamic-scrape	accounts.activecollab.com	ActiveCollab
activecollabdownload	dynamic-scrape	accounts.activecollab.com	ActiveCollab.download
activecollabinstall	dynamic-scrape	accounts.activecollab.com	ActiveCollab.install
activecollabmunki	dynamic-scrape	accounts.activecollab.com	ActiveCollab.munki
activecollabpkg	dynamic-scrape	accounts.activecollab.com	ActiveCollab.pkg
activinspire	dynamic-scrape	www.activsoftware.co.uk	ActivInspire
activinspiredownload	dynamic-scrape	www.activsoftware.co.uk	ActivInspire.download
activitywatch	github	ActivityWatch/activitywatch	ActivityWatch
activitywatchdownload	github	ActivityWatch/activitywatch	ActivityWatch.download
activitywatchmunki	github	ActivityWatch/activitywatch	ActivityWatch.munki
adapter	sparkle/feed		Adapter
adapterdownload	sparkle/feed		Adapter.download
adapterinstall	sparkle/feed		Adapter.install
adaptermunki	sparkle/feed		Adapter.munki
adapterpkg	sparkle/feed		Adapter.pkg
adf	dynamic-scrape		ADF
adfdownload	dynamic-scrape		ADF.download
adfmunki	dynamic-scrape		ADF.munki
adium	dynamic-scrape	adium.im	Adium
adiumdownload	dynamic-scrape	adium.im	Adium.download
adiuminstall	dynamic-scrape	adium.im	Adium.install
adiummunki	dynamic-scrape	adium.im	Adium.munki
adiumpkg	dynamic-scrape	adium.im	Adium.pkg
adobeacrobat2020	dynamic-scrape	trials.adobe.com	AdobeAcrobat2020
adobeacrobat2020download	dynamic-scrape	trials.adobe.com	AdobeAcrobat2020.download
adobeacrobat2020munki	dynamic-scrape	trials.adobe.com	AdobeAcrobat2020.munki
adobeacrobat2020pkg	dynamic-scrape	trials.adobe.com	AdobeAcrobat2020.pkg
adobeacrobatclassic	dynamic-scrape	trials.adobe.com	AdobeAcrobatClassic
adobeacrobatclassicdownload	dynamic-scrape	trials.adobe.com	Adobe Acrobat Classic.download
adobeacrobatclassicmunki	dynamic-scrape	trials.adobe.com	Adobe Acrobat Classic.munki
adobeacrobatdc	dynamic-scrape	www.adobe.com	AdobeAcrobatDC
adobeacrobatdcunifiedapplicationdownload	dynamic-scrape	www.adobe.com	Adobe Acrobat DC Unified Application.download
adobeacrobatdcupdate	dynamic-scrape	armmf.adobe.com	Adobe Acrobat DC Update
adobeacrobatdcupdatemunki	dynamic-scrape	armmf.adobe.com	AdobeAcrobatDCUpdate.munki
adobeacrobatpro	dynamic-scrape		Adobe Acrobat Pro
adobeacrobatprodownload	dynamic-scrape		AdobeAcrobatPro.download
adobeair	dynamic-scrape		AdobeAIR
adobeairdownload	dynamic-scrape		AdobeAIR.download
adobeairpkg	dynamic-scrape		AdobeAIR.pkg
adobecameraraw	dynamic-scrape		AdobeCameraRaw
adobecamerarawdownload	dynamic-scrape		Adobe Camera Raw.download
adobecamerarawmunki	dynamic-scrape		Adobe Camera Raw.munki
adobeconnect	dynamic-scrape	www.adobe.com	AdobeConnect
adobeconnectdownload	dynamic-scrape	www.adobe.com	Adobe Connect.download
adobeconnectmunki	dynamic-scrape	www.adobe.com	Adobe Connect.munki
adobecreativecloudinstallerapplesilicondownload	dynamic-scrape		AdobeCreativeCloudInstallerAppleSilicon.download
adobecreativecloudinstallerapplesiliconinstall	dynamic-scrape		AdobeCreativeCloudInstallerAppleSilicon.install
adobecreativecloudinstallerapplesiliconpkg	dynamic-scrape		AdobeCreativeCloudInstallerAppleSilicon.pkg
adobecreativecloudinstallerdownload	dynamic-scrape		AdobeCreativeCloudInstaller.download
adobecreativecloudinstallerinstall	dynamic-scrape		AdobeCreativeCloudInstaller.install
adobecreativecloudinstallerm1download	dynamic-scrape		AdobeCreativeCloudInstaller.M1.download
adobecreativecloudinstalleruniversaldownload	dynamic-scrape		AdobeCreativeCloudInstallerUniversal.download
adobecreativecloudinstalleruniversalinstall	dynamic-scrape		AdobeCreativeCloudInstallerUniversal.install
adobecreativecloudinstalleruniversalpkg	dynamic-scrape		AdobeCreativeCloudInstallerUniversal.pkg
adobedngconverter	dynamic-scrape	helpx.adobe.com	AdobeDNGConverter
adobedngconverterdownload	dynamic-scrape	helpx.adobe.com	Adobe DNG Converter.download
adobedngconvertermunki	dynamic-scrape	helpx.adobe.com	Adobe DNG Converter.munki
adobeexpirycheck	dynamic-scrape	helpx.adobe.com	AdobeExpiryCheck
adobeexpirycheckdownload	dynamic-scrape	helpx.adobe.com	AdobeExpiryCheck.download
adobeexpirycheckpkg	dynamic-scrape	helpx.adobe.com	AdobeExpiryCheck.pkg
adobelicensedecoder	github	adobe/adobe-license-decoder.rs	AdobeLicenseDecoder
adobelicensedecoderdownload	github	adobe/adobe-license-decoder.rs	adobe-license-decoder.download
adobelicensingtoolkit	dynamic-scrape	www.adobe.com	Adobe Licensing Toolkit
adobelicensingtoolkitdownload	dynamic-scrape	www.adobe.com	AdobeLicensingToolkit.download
adobelicensingtoolkitjssupload	dynamic-scrape	www.adobe.com	AdobeLicensingToolkit.jss-upload
adobelicensingtoolkitpkg	dynamic-scrape	www.adobe.com	AdobeLicensingToolkit.pkg
adobeoutputmodule	dynamic-scrape		AdobeOutputModule
adobeoutputmodulecc2015	dynamic-scrape		AdobeOutputModuleCC2015
adobeoutputmodulecc2015download	dynamic-scrape		AdobeOutputModuleCC2015.download
adobeoutputmodulecc2017	dynamic-scrape		AdobeOutputModuleCC2017
adobeoutputmodulecc2017download	dynamic-scrape		AdobeOutputModuleCC2017.download
adobeoutputmoduledownload	dynamic-scrape		AdobeOutputModule.download
adoberemoteupdatemanager	dynamic-scrape	deploymenttools.acp.adobeoobe.com	Adobe RemoteUpdateManager
adoberumdownload	dynamic-scrape	deploymenttools.acp.adobeoobe.com	AdobeRUM.download
adobeshockwaveplayer	dynamic-scrape		AdobeShockwavePlayer
adobeshockwaveplayerdownload	dynamic-scrape		AdobeShockwavePlayer.download
adobeuninstallunauthorizedversions	dynamic-scrape	download.adobe.com	AdobeUninstallUnauthorizedVersions
adobeuninstallunauthorizedversionsdownload	dynamic-scrape	download.adobe.com	AdobeUninstallUnauthorizedVersions.download
adobeuninstallunauthorizedversionspkg	dynamic-scrape	download.adobe.com	AdobeUninstallUnauthorizedVersions.pkg
adoptiumjdk11	dynamic-scrape		Adoptium JDK 11
adoptiumjdk11inteldownload	dynamic-scrape		AdoptiumJDK11Intel.download
adoptiumjdk17	dynamic-scrape		Adoptium JDK 17
adoptiumjdk17inteldownload	dynamic-scrape		AdoptiumJDK17Intel.download
adoptiumjdk8	dynamic-scrape		Adoptium JDK 8
adoptiumjdk8inteldownload	dynamic-scrape		AdoptiumJDK8Intel.download
adsklicensing	dynamic-scrape	www.autodesk.com	ADSKLicensing
adsklicensingdownload	dynamic-scrape	www.autodesk.com	ADSK Licensing.download
adsklicensingmunki	dynamic-scrape	www.autodesk.com	ADSK Licensing.munki
adwaremedic	sparkle/feed		AdwareMedic
adwaremedicdownload	sparkle/feed		AdwareMedic.download
adwaremedicinstall	sparkle/feed		AdwareMedic.install
adwaremedicjss	sparkle/feed		AdwareMedic.jss
adwaremedicpkg	sparkle/feed		AdwareMedic.pkg
aeontimeline	dynamic-scrape	passport.timeline.app	AeonTimeline
aeontimelinedownload	dynamic-scrape	passport.timeline.app	Aeon Timeline.download
aerial	github	%GITHUB_REPO%	Aerial
aerialdownload	github	%GITHUB_REPO%	Aerial.download
aerialinstall	github	%GITHUB_REPO%	Aerial.install
aerialmunki	github	%GITHUB_REPO%	Aerial.munki
aerialpkg	github	%GITHUB_REPO%	Aerial.pkg
aftermath	github	jamf/aftermath	aftermath
aftermathdownload	github	jamf/aftermath	aftermath.download
aftermathmunki	github	jamf/aftermath	aftermath.munki
aftermathpkg	github	jamf/aftermath	Aftermath.pkg
aftermathuninstaller	github	jamf/aftermath	AftermathUninstaller
aftermathuninstallerdownload	github	jamf/aftermath	AftermathUninstaller.download
aftermathuninstallerpkg	github	jamf/aftermath	AftermathUninstaller.pkg
agentofempires	github	njbrake/agent-of-empires	agent-of-empires
agentofempiresdownload	github	njbrake/agent-of-empires	agent-of-empires.download
aictl	github	pwittchen/aictl	aictl
aictldownload	github	pwittchen/aictl	aictl.download
aictlinstall	github	pwittchen/aictl	aictl.install
aictlpkg	github	pwittchen/aictl	aictl.pkg
air	sparkle/feed	plugins.jetbrains.com	Air
airbuddy	sparkle/feed	su.airbuddy.app	AirBuddy
airbuddy2download	sparkle/feed	su.airbuddy.app	AirBuddy2.download
airbuddy2install	sparkle/feed	su.airbuddy.app	AirBuddy2.install
airbuddy2munki	sparkle/feed	su.airbuddy.app	AirBuddy2.munki
aircallworkspace	dynamic-scrape	electron.aircall.io	AircallWorkspace
aircallworkspacedownload	dynamic-scrape	electron.aircall.io	Aircall Workspace.download
aircallworkspacemunki	dynamic-scrape	electron.aircall.io	Aircall Workspace.munki
aircontrol	dynamic-scrape		AIR Control
aircontroldownload	dynamic-scrape		AIRControl.download
