-e installomator_label	installer_type	downloadURL	appNewVersion	expectedTeamID	packageID	blockingProcesses
amazoncorretto11jdk	pkg					
amazoncorretto17jdk	pkg					
amazoncorretto21jdk	pkg					
amazoncorretto22jdk	pkg					
amazoncorretto8jdk	pkg					
anaconda	pkg	"https://repo.anaconda.com/archive/$archiveName"	$( awk -F'-' '{print $2}' <<< "$archiveName" )	Z5788K4JT7	com.anaconda.io	( "Anaconda-Navigator.app" )
apachenetbeans	pkg	"$(downloadURLFromGit Friends-of-Apache-NetBeans netbeans-installers)"	$(curl -sLI "https://github.com/Friends-of-Apache-NetBeans/netbeans-installers/releases/latest" | grep -i "^location" | tr "/" "\n" | tail -1 | sed -E 's/v([0-9]+).*/\1/')	44YNN9Q525		
appcleaner	zip	$(curl -fs https://freemacsoft.net/appcleaner/Updates.xml | xpath '//rss/channel/item[last()]/enclosure/@url' 2>/dev/null | tr " " "\n" | sort | tail -1 | cut -d '"' -f 2)	$(curl -fsL "https://freemacsoft.net/appcleaner/Updates.xml" | xpath '//rss/channel/item[last()]/enclosure/@sparkle:shortVersionString' 2>/dev/null  | cut -d '"' -f 2)	X85ZX835W9		
atlassiancompanion	dmg	$(curl -fsL https://confluence.atlassian.com/display/DOC/Install+Atlassian+Companion | sed -nE 's/.*(https:.*\.dmg)\".*/\1/p')	$(getJSONValue "$(curl -fsL https://update-nucleus.atlassian.com/Atlassian-Companion/291cb34fe2296e5fb82b83a04704c9b4/darwin/x64/RELEASES.json)" "currentRelease" )	UPXU4CQZ5P		
automounter	dmg	"https://www.pixeleyes.co.nz/automounter/AutoMounter.dmg"	"$( curl -fs https://www.pixeleyes.co.nz/automounter/version )"	UKWABN4MGL		
awscli2	pkg	"https://awscli.amazonaws.com/AWSCLIV2.pkg"	$( curl -fs "https://raw.githubusercontent.com/aws/aws-cli/v2/CHANGELOG.rst" | grep -i "CHANGELOG" -a4 | grep "[0-9.]" )	94KV3E626L	com.amazon.aws.cli2	
backgrounds	pkg	"$(downloadURLFromGit SAP backgrounds)"	"$(versionFromGit SAP backgrounds)"	7R5ZEU67FQ		
beamstudio	dmg	"$( curl -s "https://id.flux3dp.com/api/check-update?key=beamstudio-stable" | tr '"' '\n' | grep -m1 dmg )"	"$( echo "$downloadURL" | cut -d '+' -f 3 | cut -d '.' -f 1-3 )"	4Y92JWKV94		
brosix	pkg	"https://www.brosix.com/downloads/builds/official/Brosix.pkg"	""	TA6P23NW8H		
